,age,salary,add_comp,overall_exp,job_exp,education,gender
20471,35-44,178600.0,94000.0,11 - 20 years,8 - 10 years,College degree,Man
20472,35-44,57499.99999999999,1724.9999999999998,8 - 10 years,8 - 10 years,Master's degree,Woman
20473,35-44,40420.0,1410.0,11 - 20 years,2 - 4 years,College degree,Man
20474,25-34,91650.0,2820.0,2 - 4 years,2 - 4 years,College degree,Man
20475,25-34,45120.0,2820.0,5-7 years,5-7 years,College degree,Woman
20476,45-54,19600.0,0.0,11 - 20 years,2 - 4 years,College degree,Woman
20477,45-54,89300.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
20478,18-24,44969.6,0.0,2 - 4 years,2 - 4 years,College degree,Woman
20479,35-44,62040.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
20480,25-34,40020.0,3679.9999999999995,2 - 4 years,2 - 4 years,PhD,Woman
20481,35-44,143750.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
20482,25-34,44505.0,287.5,5-7 years,5-7 years,Master's degree,Woman
20483,18-24,127840.0,12784.0,2 - 4 years,2 - 4 years,College degree,Man
20484,55-64,152280.0,15040.0,21 - 30 years,11 - 20 years,Some college,Man
20485,35-44,156000.0,15600.0,11 - 20 years,11 - 20 years,College degree,Man
20486,35-44,188000.0,16920.0,11 - 20 years,11 - 20 years,College degree,Man
20487,35-44,51700.0,0.0,21 - 30 years,11 - 20 years,Some college,Man
20488,25-34,75200.0,16920.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20489,25-34,135411.69999999998,0.0,5-7 years,2 - 4 years,College degree,Woman
20490,45-54,28952.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
20491,25-34,57340.0,3760.0,11 - 20 years,5-7 years,Some college,Woman
20492,25-34,82720.0,0.0,8 - 10 years,11 - 20 years,College degree,Woman
20493,25-34,40420.0,0.0,5-7 years,5-7 years,Master's degree,Woman
20494,35-44,96350.0,9400.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
20495,25-34,117500.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Non-binary
20496,25-34,48880.0,0.0,1 year or less,1 year or less,College degree,Woman
20497,45-54,118440.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
20498,55-64,63920.0,0.0,8 - 10 years,31 - 40 years,Some college,Woman
20500,35-44,87138.0,13160.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20501,35-44,94940.0,1880.0,11 - 20 years,11 - 20 years,High School,Man
20502,25-34,58280.0,1410.0,2 - 4 years,2 - 4 years,College degree,Woman
20503,45-54,126900.0,0.0,21 - 30 years,21 - 30 years,College degree,Man
20504,45-54,94940.0,9400.0,11 - 20 years,11 - 20 years,Some college,Woman
20505,25-34,65800.0,2820.0,8 - 10 years,2 - 4 years,College degree,Man
20506,18-24,35193.6,0.0,2 - 4 years,1 year or less,College degree,Non-binary
20507,25-34,38978.04,0.0,5-7 years,5-7 years,College degree,Woman
20508,45-54,57499.99999999999,1150.0,31 - 40 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman
20509,35-44,136300.0,34075.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20510,35-44,253800.0,0.0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
20511,25-34,54520.0,940.0,2 - 4 years,2 - 4 years,College degree,Woman
20512,45-54,101520.0,18800.0,21 - 30 years,11 - 20 years,Master's degree,Woman
20513,25-34,69560.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
20514,25-34,488800.0,0.0,5-7 years,2 - 4 years,College degree,Woman
20515,35-44,122200.0,78020.0,11 - 20 years,8 - 10 years,College degree,Woman
20516,25-34,36800.0,0.0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
20517,35-44,126900.0,1880.0,11 - 20 years,11 - 20 years,Master's degree,Man
20518,25-34,141000.0,0.0,5-7 years,5-7 years,College degree,Woman
20519,35-44,103400.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20520,25-34,48880.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
20521,25-34,94000.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
20522,25-34,94940.0,1880.0,8 - 10 years,5-7 years,College degree,Woman
20523,25-34,24149.999999999996,0.0,5-7 years,5-7 years,Master's degree,Woman
20524,35-44,64521.6,1880.0,11 - 20 years,11 - 20 years,College degree,Woman
20526,25-34,106220.0,20680.0,2 - 4 years,2 - 4 years,College degree,Woman
20527,35-44,58656.0,0.0,11 - 20 years,1 year or less,College degree,Woman
20528,25-34,57340.0,3760.0,11 - 20 years,5-7 years,Some college,Woman
20529,25-34,57340.0,3760.0,11 - 20 years,5-7 years,Some college,Woman
20530,25-34,57312.74,0.0,2 - 4 years,2 - 4 years,College degree,Woman
20531,25-34,36171.2,0.0,8 - 10 years,8 - 10 years,College degree,Man
20532,25-34,22724.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
20533,35-44,97468.59999999999,0.0,11 - 20 years,5-7 years,Master's degree,Man
20534,25-34,220900.0,9400.0,11 - 20 years,11 - 20 years,College degree,Man
20535,35-44,188000.0,0.0,21 - 30 years,21 - 30 years,College degree,Other or prefer not to answer
20536,25-34,61100.0,338.4,8 - 10 years,5-7 years,Master's degree,Woman
20537,35-44,99640.0,0.0,11 - 20 years,8 - 10 years,College degree,Man
20538,35-44,61100.0,3760.0,21 - 30 years,8 - 10 years,College degree,Non-binary
20539,25-34,76140.0,0.0,8 - 10 years,5-7 years,College degree,Woman
20540,55-64,105280.0,15040.0,31 - 40 years,31 - 40 years,Master's degree,Woman
20541,25-34,51700.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
20542,25-34,70500.0,0.0,5-7 years,2 - 4 years,College degree,Non-binary
20543,25-34,206800.0,14100.0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
20544,25-34,155100.0,0.0,2 - 4 years,2 - 4 years,PhD,Man
20545,35-44,84600.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
20546,25-34,88360.0,0.0,8 - 10 years,8 - 10 years,College degree,Man
20547,35-44,96350.0,9400.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20548,35-44,117500.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
20549,35-44,44574.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
20550,25-34,160740.0,0.0,5-7 years,5-7 years,College degree,Man
20551,25-34,36660.0,1880.0,11 - 20 years,5-7 years,College degree,Woman
20552,25-34,31020.0,0.0,5-7 years,2 - 4 years,College degree,Man
20553,25-34,42300.0,470.0,5-7 years,8 - 10 years,College degree,Woman
20554,18-24,70500.0,6580.0,2 - 4 years,2 - 4 years,College degree,Woman
20555,35-44,92120.0,4700.0,11 - 20 years,11 - 20 years,College degree,Woman
20556,35-44,126900.0,0.0,21 - 30 years,5-7 years,College degree,Man
20557,25-34,47000.0,940.0,2 - 4 years,2 - 4 years,College degree,Woman
20558,35-44,82800.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
20559,55-64,117542.29999999999,0.0,41 years or more,31 - 40 years,Master's degree,Woman
20560,45-54,34845.0,0.0,21 - 30 years,5-7 years,Master's degree,Woman
20561,35-44,47000.0,9400.0,21 - 30 years,11 - 20 years,Some college,Man
20562,25-34,61896.17999999999,0.0,5-7 years,5-7 years,Master's degree,Woman
20563,35-44,56400.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20564,45-54,51174.99999999999,8049.999999999999,21 - 30 years,11 - 20 years,Master's degree,Man
20565,25-34,57340.0,3760.0,11 - 20 years,5-7 years,Some college,Woman
20566,18-24,79900.0,7990.0,2 - 4 years,2 - 4 years,College degree,Man
20567,35-44,148520.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Man
20568,25-34,109980.0,11280.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20569,35-44,75388.0,0.0,11 - 20 years,2 - 4 years,College degree,Man
20570,25-34,97760.0,9400.0,5-7 years,5-7 years,College degree,Man
20571,35-44,142880.0,25380.0,11 - 20 years,5-7 years,Master's degree,Man
20572,35-44,37600.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
20573,35-44,141000.0,28200.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20574,35-44,211500.0,9400.0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
20575,35-44,59220.0,4700.0,11 - 20 years,11 - 20 years,Master's degree,Man
20576,55-64,60160.0,0.0,21 - 30 years,5-7 years,Master's degree,Woman
20577,45-54,57810.0,0.0,21 - 30 years,5-7 years,College degree,Woman
20578,35-44,227480.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20579,35-44,155000.0,35000.0,11 - 20 years,11 - 20 years,Master's degree,Man
20580,18-24,90710.0,4700.0,2 - 4 years,2 - 4 years,College degree,Non-binary
20581,45-54,94000.0,14100.0,21 - 30 years,31 - 40 years,Some college,Woman
20582,35-44,206800.0,141000.0,11 - 20 years,11 - 20 years,College degree,Man
20583,18-24,75200.0,11280.0,1 year or less,1 year or less,College degree,Woman
20584,35-44,103400.0,15040.0,11 - 20 years,11 - 20 years,College degree,Man
20585,35-44,14100.0,0.0,11 - 20 years,8 - 10 years,PhD,Man
20586,45-54,39010.0,1504.0,21 - 30 years,11 - 20 years,Some college,Man
20587,55-64,101520.0,0.0,31 - 40 years,11 - 20 years,PhD,Man
20588,35-44,61100.0,3760.0,11 - 20 years,8 - 10 years,College degree,Man
20589,25-34,41548.0,0.0,5-7 years,2 - 4 years,Master's degree,Man
20590,25-34,78960.0,0.0,11 - 20 years,5-7 years,College degree,Woman
20591,35-44,37600.0,0.0,5-7 years,2 - 4 years,College degree,Non-binary
20592,25-34,164500.0,211500.0,5-7 years,5-7 years,College degree,Man
20593,25-34,125960.0,0.0,2 - 4 years,2 - 4 years,College degree,Man
20594,55-64,92000.0,23000.0,31 - 40 years,5-7 years,High School,Man
20595,35-44,103400.0,15980.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20596,25-34,65800.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20597,25-34,103400.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
20598,35-44,169200.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20599,25-34,47000.0,0.0,5-7 years,5-7 years,Master's degree,Woman
20600,25-34,39377.54,0.0,5-7 years,5-7 years,College degree,Non-binary
20601,25-34,59220.0,0.0,11 - 20 years,11 - 20 years,Some college,Woman
20602,25-34,36660.0,564.0,8 - 10 years,5-7 years,College degree,Non-binary
20603,45-54,50290.0,0.0,21 - 30 years,11 - 20 years,Some college,Woman
20604,35-44,98700.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
20605,35-44,69652.12,0.0,11 - 20 years,8 - 10 years,College degree,Woman
20606,25-34,59220.0,0.0,11 - 20 years,11 - 20 years,Some college,Woman
20607,18-24,66740.0,8460.0,2 - 4 years,1 year or less,Master's degree,Woman
20608,35-44,186120.0,0.0,21 - 30 years,21 - 30 years,Some college,Man
20609,25-34,61100.0,0.0,5-7 years,5-7 years,Master's degree,Woman
20610,35-44,43710.0,470.0,11 - 20 years,8 - 10 years,College degree,Woman
20611,35-44,46464.6,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
20612,25-34,34780.0,940.0,5-7 years,5-7 years,College degree,Woman
20613,35-44,134420.0,47000.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20614,45-54,51700.0,4700.0,11 - 20 years,5-7 years,Master's degree,Woman
20615,25-34,38766.54,470.0,5-7 years,1 year or less,Some college,Man
20616,25-34,39480.0,0.0,2 - 4 years,1 year or less,Master's degree,Woman
20617,25-34,139590.0,0.0,5-7 years,2 - 4 years,College degree,Woman
20618,35-44,112800.0,18800.0,11 - 20 years,11 - 20 years,College degree,Woman
20619,35-44,61746.03,0.0,21 - 30 years,11 - 20 years,College degree,Woman
20620,25-34,36120.0,412.79999999999995,5-7 years,1 year or less,Master's degree,Woman
20621,35-44,114680.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20622,25-34,95880.0,3760.0,1 year or less,1 year or less,PhD,Man
20623,45-54,88172.0,2820.0,21 - 30 years,11 - 20 years,College degree,Man
20624,35-44,71440.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Man
20625,25-34,103400.0,18800.0,5-7 years,1 year or less,Master's degree,Woman
20626,25-34,38652.799999999996,0.0,2 - 4 years,2 - 4 years,Master's degree,Non-binary
20627,35-44,108100.0,0.0,11 - 20 years,11 - 20 years,Some college,Man
20628,35-44,93150.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Man
20629,35-44,89300.0,7520.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20630,25-34,33238.4,1880.0,8 - 10 years,5-7 years,College degree,Woman
20631,35-44,47000.0,14100.0,8 - 10 years,8 - 10 years,College degree,Man
20632,35-44,81469.79999999999,0.0,11 - 20 years,11 - 20 years,Master's degree,Man
20633,35-44,56400.0,0.0,11 - 20 years,5-7 years,College degree,Woman
20634,18-24,39480.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
20635,35-44,161680.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
20636,25-34,84882.0,9400.0,8 - 10 years,8 - 10 years,College degree,Woman
20637,25-34,43014.399999999994,5640.0,5-7 years,5-7 years,College degree,Woman
20638,35-44,150400.0,14100.0,21 - 30 years,11 - 20 years,Some college,Man
20639,35-44,131600.0,9400.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man
20640,35-44,75200.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
20641,45-54,75200.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
20642,18-24,12220.0,0.0,5-7 years,2 - 4 years,High School,Woman
20643,35-44,90390.4,9400.0,8 - 10 years,2 - 4 years,College degree,Man
20644,25-34,65800.0,0.0,5-7 years,8 - 10 years,Master's degree,Non-binary
20645,45-54,34780.0,23500.0,11 - 20 years,11 - 20 years,College degree,Woman
20646,25-34,112800.0,0.0,5-7 years,2 - 4 years,College degree,Woman
20647,35-44,94000.0,2820.0,11 - 20 years,8 - 10 years,College degree,Woman
20648,35-44,159800.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
20649,25-34,116560.0,9400.0,2 - 4 years,2 - 4 years,College degree,Woman
20650,25-34,56400.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20651,45-54,67680.0,0.0,31 - 40 years,31 - 40 years,Master's degree,Woman
20652,35-44,103400.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
20653,25-34,35720.0,1880.0,2 - 4 years,2 - 4 years,College degree,Woman
20654,35-44,42466.38,470.0,11 - 20 years,2 - 4 years,Some college,Non-binary
20655,25-34,70500.0,470.0,5-7 years,5-7 years,Master's degree,Woman
20656,25-34,86480.0,11280.0,8 - 10 years,5-7 years,Master's degree,Woman
20657,35-44,188000.0,216200.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20658,35-44,109980.0,0.0,11 - 20 years,5-7 years,Master's degree,Man
20659,25-34,79900.0,9400.0,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Man
20660,25-34,65800.0,4700.0,5-7 years,5-7 years,Master's degree,Woman
20661,35-44,118440.0,14100.0,21 - 30 years,21 - 30 years,Some college,Man
20662,25-34,42300.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
20663,25-34,47000.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
20664,25-34,18048.0,188.0,11 - 20 years,5-7 years,High School,Man
20665,25-34,75000.0,2400.0,11 - 20 years,5-7 years,College degree,Woman
20666,35-44,61000.0,0.0,8 - 10 years,8 - 10 years,College degree,Man
20667,25-34,48880.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20668,35-44,83660.0,0.0,11 - 20 years,5-7 years,Master's degree,Man
20669,25-34,67850.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
20670,45-54,71440.0,0.0,5-7 years,8 - 10 years,College degree,Man
20671,45-54,59864.84,14100.0,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
20672,18-24,48299.99999999999,1150.0,2 - 4 years,2 - 4 years,Master's degree,Woman
20673,25-34,197400.0,47000.0,8 - 10 years,8 - 10 years,College degree,Man
20674,35-44,162150.0,0.0,11 - 20 years,11 - 20 years,PhD,Woman
20675,25-34,44850.0,345.0,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Woman
20676,35-44,99715.2,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
20677,55-64,252860.0,0.0,31 - 40 years,21 - 30 years,PhD,Man
20678,25-34,55460.0,0.0,2 - 4 years,2 - 4 years,PhD,Woman
20679,25-34,84600.0,0.0,8 - 10 years,2 - 4 years,College degree,Woman
20680,35-44,38540.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20681,25-34,110399.99999999999,0.0,11 - 20 years,11 - 20 years,Master's degree,Man
20682,55-64,79900.0,0.0,31 - 40 years,31 - 40 years,College degree,Woman
20683,18-24,61100.0,18800.0,2 - 4 years,1 year or less,College degree,Woman
20684,45-54,191760.0,32900.0,21 - 30 years,21 - 30 years,Master's degree,Man
20685,18-24,67680.0,5640.0,1 year or less,1 year or less,College degree,Woman
20686,25-34,42206.0,1880.0,5-7 years,5-7 years,College degree,Man
20687,25-34,54520.0,658.0,8 - 10 years,5-7 years,College degree,Woman
20688,25-34,50760.0,0.0,5-7 years,5-7 years,Master's degree,Woman
20689,35-44,100580.0,7520.0,11 - 20 years,11 - 20 years,College degree,Woman
20690,45-54,61100.0,470.0,11 - 20 years,8 - 10 years,College degree,Woman
20691,25-34,43710.0,0.0,5-7 years,5-7 years,Master's degree,Woman
20692,45-54,122200.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Man
20693,18-24,35193.6,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
20694,35-44,36000.0,2000.0,11 - 20 years,11 - 20 years,PhD,Man
20695,25-34,72000.0,0.0,5-7 years,5-7 years,Master's degree,Man
20696,25-34,65800.0,1880.0,5-7 years,2 - 4 years,Master's degree,Woman
20697,25-34,22560.0,0.0,8 - 10 years,11 - 20 years,Some college,Woman
20698,25-34,65800.0,28200.0,5-7 years,5-7 years,College degree,Man
20699,35-44,105580.79999999999,0.0,11 - 20 years,8 - 10 years,PhD,Woman
20700,35-44,65550.0,1724.9999999999998,11 - 20 years,11 - 20 years,College degree,Man
20701,25-34,79900.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
20702,35-44,54164.99999999999,0.0,11 - 20 years,8 - 10 years,College degree,Woman
20703,18-24,90785.2,3760.0,5-7 years,2 - 4 years,Master's degree,Man
20704,35-44,127088.0,12708.8,11 - 20 years,2 - 4 years,Master's degree,Woman
20705,18-24,65800.0,0.0,1 year or less,1 year or less,College degree,Woman
20706,25-34,97760.0,0.0,5-7 years,5-7 years,College degree,Woman
20707,35-44,122200.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20708,25-34,141000.0,37600.0,8 - 10 years,2 - 4 years,College degree,Woman
20709,25-34,84600.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20710,25-34,60160.0,5640.0,5-7 years,5-7 years,College degree,Woman
20711,35-44,143820.0,26320.0,11 - 20 years,5-7 years,Master's degree,Woman
20712,25-34,38540.0,940.0,5-7 years,5-7 years,College degree,Non-binary
20714,25-34,48880.0,0.0,11 - 20 years,1 year or less,Master's degree,Woman
20715,25-34,145700.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Non-binary
20716,35-44,140400.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Man
20717,25-34,79900.0,14100.0,11 - 20 years,5-7 years,Master's degree,Woman
20718,25-34,119380.0,3760.0,11 - 20 years,8 - 10 years,College degree,Other or prefer not to answer
20719,25-34,98700.0,14100.0,5-7 years,2 - 4 years,College degree,Woman
20720,25-34,34343.84,0.0,2 - 4 years,2 - 4 years,College degree,Woman
20721,35-44,47940.0,0.0,11 - 20 years,2 - 4 years,Some college,Man
20722,55-64,97979.99999999999,0.0,31 - 40 years,31 - 40 years,Master's degree,Man
20723,35-44,39480.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
20724,25-34,79900.0,2350.0,8 - 10 years,5-7 years,Master's degree,Woman
20725,25-34,115620.0,9400.0,2 - 4 years,2 - 4 years,PhD,Woman
20726,45-54,90240.0,12220.0,21 - 30 years,11 - 20 years,Master's degree,Woman
20727,45-54,84600.0,23500.0,21 - 30 years,21 - 30 years,Some college,Woman
20728,25-34,75200.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
20729,25-34,61686.56,4700.0,11 - 20 years,5-7 years,Some college,Woman
20730,25-34,66700.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20731,25-34,42000.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20732,35-44,188000.0,0.0,8 - 10 years,8 - 10 years,PhD,Man
20733,25-34,155100.0,47000.0,5-7 years,5-7 years,Master's degree,Woman
20734,25-34,155100.0,0.0,1 year or less,1 year or less,PhD,Woman
20735,25-34,155100.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
20736,35-44,152280.0,0.0,21 - 30 years,8 - 10 years,Master's degree,Man
20737,25-34,54990.0,0.0,2 - 4 years,2 - 4 years,PhD,Woman
20738,45-54,57499.99999999999,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
20739,25-34,116560.0,25850.0,8 - 10 years,8 - 10 years,PhD,Woman
20740,35-44,117500.0,0.0,8 - 10 years,8 - 10 years,PhD,Woman
20741,35-44,263200.0,733200.0,11 - 20 years,11 - 20 years,PhD,Man
20742,25-34,61100.0,9400.0,5-7 years,5-7 years,Some college,Woman
20743,35-44,125960.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
20744,35-44,105750.0,902.4,11 - 20 years,11 - 20 years,College degree,Woman
20745,35-44,155100.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20746,35-44,75200.0,752.0,8 - 10 years,8 - 10 years,Master's degree,Woman
20747,25-34,43240.0,0.0,5-7 years,2 - 4 years,College degree,Woman
20748,25-34,70500.0,0.0,5-7 years,5-7 years,College degree,Man
20749,45-54,225600.0,0.0,21 - 30 years,21 - 30 years,College degree,Man
20750,25-34,23919.999999999996,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20751,35-44,94299.99999999999,0.0,5-7 years,5-7 years,College degree,Other or prefer not to answer
20752,35-44,124199.99999999999,0.0,8 - 10 years,5-7 years,Master's degree,Woman
20753,35-44,41400.0,0.0,5-7 years,2 - 4 years,PhD,Other or prefer not to answer
20754,25-34,82720.0,82720.0,8 - 10 years,5-7 years,Master's degree,Woman
20755,25-34,89300.0,0.0,2 - 4 years,2 - 4 years,College degree,Man
20756,35-44,66740.0,6110.0,21 - 30 years,5-7 years,Some college,Woman
20757,25-34,160740.0,9400.0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
20758,25-34,71300.0,2875.0,8 - 10 years,8 - 10 years,College degree,Man
20759,35-44,60489.99999999999,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
20760,25-34,94000.0,14100.0,5-7 years,2 - 4 years,College degree,Woman
20761,35-44,169200.0,18800.0,21 - 30 years,21 - 30 years,College degree,Man
20762,35-44,228405.9,22560.0,11 - 20 years,11 - 20 years,College degree,Man
20763,25-34,95880.0,2350.0,8 - 10 years,5-7 years,College degree,Woman
20764,35-44,75000.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
20765,25-34,62980.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
20766,45-54,90240.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
20767,35-44,188000.0,0.0,21 - 30 years,21 - 30 years,College degree,Man
20768,35-44,51700.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20769,25-34,186120.0,47940.0,8 - 10 years,8 - 10 years,College degree,Woman
20770,25-34,51700.0,0.0,11 - 20 years,2 - 4 years,Some college,Man
20771,25-34,61100.0,4700.0,5-7 years,2 - 4 years,Master's degree,Man
20772,25-34,37600.0,0.0,5-7 years,2 - 4 years,College degree,Woman
20773,35-44,81780.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
20774,45-54,62745.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
20776,35-44,51700.0,0.0,11 - 20 years,11 - 20 years,High School,Man
20777,35-44,97760.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
20778,35-44,59220.0,564.0,11 - 20 years,11 - 20 years,College degree,Woman
20779,35-44,141000.0,6580.0,21 - 30 years,11 - 20 years,College degree,Man
20780,45-54,82118.4,0.0,21 - 30 years,8 - 10 years,College degree,Woman
20781,25-34,59105.32,0.0,5-7 years,5-7 years,College degree,Woman
20783,45-54,35720.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
20784,65 or over,47000.0,0.0,31 - 40 years,5-7 years,High School,Woman
20785,25-34,108100.0,0.0,5-7 years,5-7 years,College degree,Woman
20786,25-34,63249.99999999999,13799.999999999998,5-7 years,5-7 years,Master's degree,Woman
20787,25-34,141000.0,0.0,5-7 years,5-7 years,Master's degree,Woman
20788,35-44,139120.0,42300.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
20789,25-34,46060.0,0.0,5-7 years,5-7 years,Master's degree,Woman
20790,25-34,35193.6,0.0,2 - 4 years,1 year or less,Master's degree,Woman
20791,45-54,77080.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
20792,35-44,180480.0,206800.0,11 - 20 years,11 - 20 years,Master's degree,Man
20793,25-34,26320.0,6580.0,8 - 10 years,1 year or less,Some college,Woman
20794,35-44,56400.0,14100.0,11 - 20 years,8 - 10 years,College degree,Woman
20795,45-54,61100.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20796,45-54,43663.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
20797,35-44,23000.0,1150.0,11 - 20 years,2 - 4 years,Master's degree,Man
20798,18-24,53016.0,4700.0,2 - 4 years,2 - 4 years,College degree,Man
20799,35-44,46259.28,0.0,11 - 20 years,5-7 years,College degree,Woman
20800,25-34,28200.0,0.0,2 - 4 years,1 year or less,College degree,Man
20801,25-34,79900.0,0.0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
20802,45-54,141000.0,4700.0,11 - 20 years,11 - 20 years,PhD,Man
20803,35-44,253800.0,103400.0,11 - 20 years,11 - 20 years,PhD,Man
20804,25-34,39480.0,940.0,11 - 20 years,8 - 10 years,Master's degree,Woman
20805,25-34,61100.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
20806,35-44,66740.0,0.0,11 - 20 years,8 - 10 years,Some college,Woman
20807,25-34,62698.0,9400.0,2 - 4 years,1 year or less,College degree,Woman
20808,25-34,78020.0,4700.0,2 - 4 years,2 - 4 years,College degree,Woman
20809,35-44,54520.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
20810,18-24,55930.0,940.0,1 year or less,1 year or less,College degree,Woman
20811,35-44,62789.99999999999,0.0,5-7 years,8 - 10 years,Master's degree,Woman
20812,25-34,114680.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
20813,35-44,75600.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20814,35-44,86480.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
20815,25-34,67680.0,2350.0,5-7 years,2 - 4 years,Master's degree,Woman
20816,25-34,128779.99999999999,25380.0,11 - 20 years,11 - 20 years,College degree,Man
20817,25-34,41059.2,1410.0,2 - 4 years,2 - 4 years,College degree,Woman
20818,25-34,151800.0,27599.999999999996,11 - 20 years,11 - 20 years,College degree,Woman
